file,line,match
client/index.html,88,"1,057 destinations"
client/src/components/featured-destinations.tsx,45,"6 destinations"
client/src/components/mobile-menu.tsx,40,"From Salt Lake to Everywhere"
client/src/components/seo-head.tsx,270,"700+ destinations"
client/src/components/subscription-tiers.tsx,39,"370+ destinations"
client/src/pages/AdminDashboard.tsx,329,"10 Destinations"
client/src/pages/ContentDashboard.tsx,45,"From Salt Lake to Everywhere"
client/src/pages/categories.tsx,131,"1,000 destinations"
client/src/pages/google-apis-admin.tsx,218,"5 Destinations"
client/src/pages/home-temp.tsx,33,"From Salt Lake to Everywhere"
client/src/pages/home-temp.tsx,172,"from SLC to everywhere"
client/src/pages/home-temp.tsx,172,"681 destinations"
client/src/pages/home-temp.tsx,193,"681 Destinations"
client/src/pages/login.tsx,30,"498 Destinations"
client/src/pages/olympians-atlas-landing.tsx,36,"995+ destinations"
client/src/pages/subscribe.tsx,37,"24 destinations"
client/src/pages/subscribe.tsx,60,"48 destinations"
client/src/pages/subscribe.tsx,86,"89 destinations"
client/src/pages/subscribe.tsx,109,"124 destinations"
client/src/pages/subscribe.tsx,132,"67 destinations"
client/src/pages/subscribe.tsx,155,"18 destinations"
client/src/utils/getFeaturedDestinations.ts,132,"6 destinations"
scripts/README.md,156,"15 destinations"
scripts/import-full-dataset.ts,3,"992 destinations"
server/email.ts,86,"700 destinations"
server/mass-photo-enrichment.ts,35,"5 destinations"
server/photo-enrichment-system.ts,292,"25 destinations"
shared/mt-olympus-schema.ts,221,"From Salt Lake to Everywhere"
src/app.html,8,"From Salt Lake to Everywhere"
src/worker.ts,253,"1,057+ destinations"
static/manifest.webmanifest,4,"739+ destinations"